Bean_origin,Average_rating,Latitude,Longitude
Australia,3.250,-25.274398,133.775136
Belize,3.243,17.189877,-88.49765
Bolivia,3.180,-16.290154,-63.588653
Brazil,3.260,-14.235004,-51.92528
Burma,3.000,21.916221,95.955974
Cameroon,3.083,7.369722,12.354722
China,3.500,35.86166,104.195397
Colombia,3.205,4.570868,-74.297333
Congo,3.318,-4.038333,21.758664
Costa Rica,3.155,9.748917,-83.753428
Cuba,3.292,21.521757,-77.781167
Dominican Republic,3.219,18.735693,-70.162651
DR Congo,3.000,-4.038333,21.758664
Ecuador,3.214,-1.831239,-78.183406
El Salvador,3.000,13.794185,-88.89653
Fiji,3.063,-17.713371,178.065032
Gabon,3.250,-0.803689,11.609444
Ghana,3.174,7.946527,-1.023194
Grenada,3.015,12.1165,-61.679
Guatemala,3.258,15.783471,-90.230759
Haiti,3.267,18.971187,-72.285215
Honduras,3.240,15.199999,-86.241905
India,3.164,20.593684,78.96288
Indonesia,3.158,-0.789275,113.921327
Ivory Coast,2.833,7.539989,-5.54708
Jamaica,3.198,18.109581,-77.297508
Liberia,3.083,6.428055,-9.429499
Madagascar,3.270,-18.766947,46.869107
Malaysia,3.094,4.210484,101.975766
Martinique,2.750,14.641528,-61.024174
Mexico,3.167,23.634501,-102.552784
Nicaragua,3.255,12.865416,-85.207229
Nigeria,2.875,9.081999,8.675277
Panama,3.111,8.537981,-80.782127
Papua New Guinea,3.281,-6.314993,143.95555
Peru,3.228,-9.189967,-75.015152
Philippines,3.125,12.879721,121.774017
Principe,2.750,1.6139012,7.4057024
Puerto Rico,2.714,18.220833,-66.590149
Samoa,3.083,-13.759029,-172.104629
Sao Tome,3.071,0.3301924,6.733343
Sao Tome & Principe,3.500,0.18636,6.613081
Sierra Leone,2.750,8.460555,-11.779889
Solomon Islands,3.450,-9.64571,160.156194
Sri Lanka,2.875,7.873054,80.771797
St. Lucia,3.083,13.909444,-60.978893
St.Vincent-Grenadines,2.750,12.984305,-61.287228
Sulawesi,3.250,-1.8479,120.5279
Sumatra,3.000,-0.589724,101.3431058
Suriname,3.250,3.919305,-56.027783
Taiwan,2.875,23.69781,120.960515
Tanzania,3.244,-6.369028,34.888822
Thailand,3.300,15.870032,100.992541
Tobago,3.250,11.2336911,-60.6988909
Togo,3.083,8.619543,0.824782
Trinidad,3.244,10.691803,-61.222503
U.S.A.,3.218,37.09024,-95.712891
Uganda,3.097,1.373333,32.290275
Vanuatu,3.063,-15.376706,166.959158
Venezuela,3.240,6.42375,-66.58973
Vietnam,3.288,14.058324,108.277199
