REF,Company,Location,Review_Date,Bean_Origin,Bar_Name,CocoaPer,Enc_ingr,Characteristics,Rating,ingri
2644,Fresco,U.S.A.,2021,Venezuela,"Chuao Village, BR-SC, batch 21-437",68,6,"robust cocoa, dried cranberry",4,"3- B,S,C"
2644,Fresco,U.S.A.,2021,Nicaragua,"O'Payo Profundo, Waslala, DR-LC, #271, b. 21-433",70,6,"rich chocolate, late spice notes",3.75,"3- B,S,C"
2704,Fresco,U.S.A.,2021,Madagascar,"Sambirano V., #290, MR MC, batch 21-454",70,6,"raspberry, mild sour, cocoa",3.5,"3- B,S,C"
2644,Fresco,U.S.A.,2021,Nicaragua,"O'Payo Profundo, Waslala, MR-MC, #271, b. 21-431",70,6,"oily, black licorice, spicey",3.5,"3- B,S,C"
2642,Fresco,U.S.A.,2021,Ghana,"ABOCFA, #261, DR-MC, batch 21-448",68,6,"fudgey, spicey, nutty",3.5,"3- B,S,C"
2708,Fresco,U.S.A.,2021,Peru,"Lamas, Oro Verde, #282, DR MC, batch 21-451",74,6,"spicey, herbal, ripe, sl. burnt",3.25,"3- B,S,C"
2642,Fresco,U.S.A.,2021,Ghana,"ABOCFA, #260, LR-SC, batch 20-335",68,6,"coconut, high astringency",3.25,"3- B,S,C"
2708,Fresco,U.S.A.,2021,Peru,"Lamas, Oro Verde, #280, MR 0C, batch 21-457",74,6,"licorice, caramel, floral, dirty",3,"3- B,S,C"
2712,Fossa,Singapore,2021,Malaysia,"Semai Community, Kamping Long B, Pahang",72,2,"dairy, cocoa, mild sour",3.5,"2- B,S"
2712,Fossa,Singapore,2021,Indonesia,"Burang, Popayato-Paquat microlot, Goranulo Province",72,2,"dried fruit (fig), black licorice",3.5,"2- B,S"
2664,Ethereal,U.S.A.,2021,Uganda,Uganda,70,6,"sandy, basic cocoa, sweet",3,"3- B,S,C"
2570,Escazu,U.S.A.,2021,Colombia,"Arhuacos, Sierra Nevada, batch 060221",70,2,"mild licorice, late mocha",3.5,"2- B,S"
2570,Escazu,U.S.A.,2021,Blend,"""Roasted Cocoa Nibs"", Latin America Blend, b.060321",65,6,"sweet, too few nibs, cocoa",3,"3- B,S,C"
2648,Duffy's,U.K.,2021,Nicaragua,"Juno, batch 201006",70,13,"fruit, holiday spice",3.5,"4- B,S,C,L"
2696,Dormouse,U.K.,2021,Belize,"Trio Reserve, 2020 h. batch D002",78,6,molasses notes dominate,3.25,"3- B,S,C"
2656,Dick Taylor,U.S.A.,2021,Mexico,"Soconusco, Rayen Cacao Co-op, batch 21154",72,2,"dried fruit, fig, astringent, sticky",4,"2- B,S"
2554,Dick Taylor,U.S.A.,2021,Jamaica,"Bachelor's Hall, batch 20240",75,2,"sl. bitter, black licorice, dried fig",3.75,"2- B,S"
2550,Dandelion (Japan),U.S.A.,2021,Dominican Republic,"Zorzal Estate, 2017 h.",70,2,"light caramel, sl. dry, earthy",3,"2- B,S"
2546,Dandelion,U.S.A.,2021,Brazil,"Vale Potumuju, 2019 h., batch 1",70,2,distinct choco and graham,4,"2- B,S"
2550,Dandelion,U.S.A.,2021,Dominican Republic,"Zorzal Estate, 2016 h., batch 1",70,2,"faint fruit, basic fudgey",3.5,"2- B,S"
2546,Dandelion,U.S.A.,2021,Tanzania,"Kokoa Kamili, 2017 h., batch 2",70,2,"dairy, honey, cocoa",3.5,"2- B,S"
2602,Dandelion,U.S.A.,2021,India,"Anamalai, 2019 H., batch 1, nutmeg fermentation",70,2,"orange soda, sour",3.25,"2- B,S"
2550,Dandelion,U.S.A.,2021,Peru,"Piura Blanco, 2015 h.,Norandino Coop, batch 1",70,2,"grape, pungent",3.25,"2- B,S"
2602,Dandelion,U.S.A.,2021,India,"Anamalai, 2018 H., batch 1",70,2,"pungent, sour, tart, intense",2.75,"2- B,S"
2602,Dandelion,U.S.A.,2021,Guatemala,"Cahabon, Cacao Verapaz, ADIOESMAC, batch 1",70,2,"pungent, woody, choco pudding",2.75,"2- B,S"
2574,Dancing Lion,U.S.A.,2021,Peru,"Ucayali, collab w/ USAID & Alanzo Cacao",72,13,"raisiny, slight anise, roasty",3.5,"4- B,S,C,L"
2574,Dancing Lion,U.S.A.,2021,India,Anamalai,72,13,"fresh fruit, sour cherry, roasty",3,"4- B,S,C,L"
2574,Dancing Lion,U.S.A.,2021,Puerto Rico,"Puerto Rico, collab w/ USDA (Juan Echevarria)",68,13,"harsh woody/green, cocoa base",2.5,"4- B,S,C,L"
2622,Cuna de Piedra,Mexico,2021,Mexico,"Comalcalco, Tabasco, b. 2370003, 2019 harvest",73,2,"deep cocoa, fruit, melon",3.75,"2- B,S"
2656,Crow and Moss,U.S.A.,2021,India,"Anamalai, Pollachi City, batch 148",70,2,"sticky, cocoa, honey",3.75,"2- B,S"
2688,Conjure,U.S.A.,2021,Tanzania,Kokoa Kamili,75,6,"cocoa, mild fruit",3.5,"3- B,S,C"
2684,Conjure,U.S.A.,2021,Peru,Ucayali,68,6,"spicy, vanilla, sweet, cocoa",3.25,"3- B,S,C"
2688,Conjure,U.S.A.,2021,Ivory Coast,"Ivory Coast, Rainforest Alliance, batch 7",70,6,"off, harsh, dirty, chemical",2.5,"3- B,S,C"
2688,Conjure,U.S.A.,2021,Philippines,Malah Na Bulong,70,6,"cocoa, grass, off notes",2.5,"3- B,S,C"
2606,Cocoa Forge,U.S.A.,2021,Colombia,"Tumaco, batch 227COtm",70,6,"sweet, cocoa, cardboard off",3.25,"3- B,S,C"
2606,Cocoa Forge,U.S.A.,2021,Madagascar,"Sambirano, batch 236MAsaD77",77,2,"Rich cocoa, tart, papery",3.25,"2- B,S"
2542,5150,U.S.A.,2021,India,"Anamalai, batch 1",68,6,"milk brownie, macadamia,chewy",3.5,"3- B,S,C"
2606,Cocoa Forge,U.S.A.,2021,Peru,"Maranon, batch 244PEmaD",68,6,"molasses, dried fruit, tart, off",3,"3- B,S,C"
2630,Cleveland Chocolate Company,U.S.A.,2021,Haiti,Pisa,79,6,"blueberry, sweet edge, pure",3.5,"3- B,S,C"
2630,Cleveland Chocolate Company,U.S.A.,2021,Dominican Republic,Oko Caribe,70,6,"spice, earthy, honey, sour",3.5,"3- B,S,C"
2638,Chokola,U.S.A.,2021,Bolivia,"Wild Tranquilidad, harvest 2018, batch 9",75,2,"hint of lemon, classic brownie",3.75,"2- B,S"
2638,Chokola,U.S.A.,2021,Tanzania,"Kokoa Kamili, harvest 2018",75,2,"roasty, cocoa, sandy, coffee AT",3.5,"2- B,S"
2594,Chocotenango,U.S.A.,2021,Belize,"Maya Mountain, Toledo",70,2,full flavor w/ dominant roast,3.5,"2- B,S"
2598,Chocotenango,U.S.A.,2021,Dominican Republic,Duarte,73,2,"hazelnut, bold, strong roast",3.25,"2- B,S"
2594,Chocotenango,U.S.A.,2021,Guatemala,"Chivite, Cahabon River",70,2,"melon, mild spice, cocoa",3.25,"2- B,S"
2700,Chocolate Tree,Scotland,2021,Venezuela,Chuao,70,6,"nutty, mild dried fruit, sandy, off",2.75,"3- B,S,C"
2668,Chequessett,U.S.A.,2021,Dominican Republic,"Dominican Republic, ""Provincetown Dark""",69,6,"dried fruit, banana, sweet, vanilla",3.25,"3- B,S,C"
2668,Chequessett,U.S.A.,2021,Colombia,Tumaco Narino,83,6,"early fruit, earthy, alcohol",3.25,"3- B,S,C"
2676,Chaleur B,Canada,2021,Peru,"Maranon, nano-lot #709, bar# 371",72,6,"dominate grape, plastic off note",3.25,"3- B,S,C"
2546,5150,U.S.A.,2021,Uganda,"Semuliki Forest, batch 1",80,6,"mildly bitter, basic cocoa, fatty",3.25,"3- B,S,C"
2676,Chaleur B,Canada,2021,Belize,Maya Mountain,70,6,"vanilla, sour, bubblegum",3,"3- B,S,C"
2672,Chaleur B,Canada,2021,Madagascar,"Ambanja, Sambirano Valley",70,6,"cherry, sour milk, brownie",3,"3- B,S,C"
2688,Castronovo,U.S.A.,2021,Venezuela,"Chuao, batch 1089",72,6,"mild strawberry, cocoa, acidic",4,"3- B,S,C"
2554,Castronovo,U.S.A.,2021,Peru,"Valle de Los Rios, batch 990",70,6,"complex, strawberry, floral",4,"3- B,S,C"
2630,CAR Artisan,U.S.A.,2021,Mexico,"Soconusco, batch 2",70,6,"strong tobacco, grassy",3.25,"3- B,S,C"
2630,CAR Artisan,U.S.A.,2021,Peru,"Ucayali, batch 12",70,6,"intense, cooked black licorice",3.25,"3- B,S,C"
2626,CAR Artisan,U.S.A.,2021,Tanzania,"Kokoa Kamili, batch 9",70,6,"unusually tart, nutty",3.25,"3- B,S,C"
2626,CAR Artisan,U.S.A.,2021,Nicaragua,"La Colonia, batch 5",70,6,"burnt blueberry, off",3,"3- B,S,C"
2558,Caofiori,Colombia,2021,Colombia,Meta,70,13,"cocoa base, fruit, creamy",3.75,"4- B,S,C,L"
2558,Caofiori,Colombia,2021,Colombia,Choco,70,13,"single note of cocoa, fatty",3.5,"4- B,S,C,L"
2558,Caofiori,Colombia,2021,Colombia,Tumaco,70,13,"spice, honey, fatty",3.25,"4- B,S,C,L"
2558,Caofiori,Colombia,2021,Colombia,Arauca,70,13,"spice, oats, nutty, fatty",3.25,"4- B,S,C,L"
2610,Cacaosuyo,Peru,2021,Peru,Piura Select,70,2,chocolate and grapes,4,"2- B,S"
2614,Cacaosuyo,Peru,2021,Peru,Cuzco,80,2,"smooth, slow, mild grape",3.5,"2- B,S"
2614,Cacaosuyo,Peru,2021,Peru,"Lakuna, Amazonas, silvestre",70,2,"complex, floral, spicy, fruit",3.5,"2- B,S"
2610,Cacaosuyo,Peru,2021,Peru,Chuncho-Cuzco,70,2,"herbal, cocoa tea",3.5,"2- B,S"
2546,5150,U.S.A.,2021,Venezuela,"Sur del Lago, batch 1",72,6,"fatty, earthy, moss, nutty,chalky",3,"3- B,S,C"
2542,Brasstown,U.S.A.,2021,Tanzania,Kokoa Kamili,62,6,"very sweet, melon, caramel",3,"3- B,S,C"
2554,Bonnat,France,2021,Nicaragua,"El Castillero, Indio Maiz",75,6,"bold, woody, nut, roasty, creamy",3.75,"3- B,S,C"
2648,A. Morin,France,2021,Mexico,La Joya,70,13,"light color, fruit, yogurt",4,"4- B,S,C,L"
2542,5150,U.S.A.,2021,Fiji,"Matasawalevu, batch 1",68,6,"chewy, off, rubbery",3,"3- B,S,C"
2590,Black Sheep,U.S.A.,2021,Belize,"Maya Mountain, batch 98",72,6,honey with subtle tobacco,3.25,"3- B,S,C"
2590,Black Sheep,U.S.A.,2021,Colombia,"Sierra Nevada, batch 92",72,6,"burnt caramel, cocoa, floral",3.25,"3- B,S,C"
2574,Black Mountain,U.S.A.,2021,Dominican Republic,"""Cocoa Nibs"", Hispaniola w/ nibs",70,13,"bright fruit, crisp nibs, cocoa",3.75,"4- B,S,C,L"
2700,Zacharias,U.S.A.,2021,Bolivia,"Tranquilidad, wild Bolivia",70,6,"sweet, tart, sour",3,"3- B,S,C"
2618,Zac Squared,U.S.A.,2021,Dominican Republic,Zorzal,70,6,"sweet, rich, cocoa, fruity",3.5,"3- B,S,C"
2618,Zac Squared,U.S.A.,2021,Vietnam,Ben Tre,70,6,"tart, cherry, cocoa, mild sour",3.5,"3- B,S,C"
2618,Zac Squared,U.S.A.,2021,Trinidad,Rio Claro,70,6,"nutty, fruity, sweet",3.25,"3- B,S,C"
